chat_bot,query_num,partial_response_time,total_response_time
yeti,1,7.419315099716187,8.756757020950317
yeti,2,6.90220308303833,8.164952993392944
yeti,3,7.475247144699097,8.850792169570923
yeti,4,6.947666168212891,8.23589301109314
yeti,5,8.359445095062256,9.78429913520813
yeti,6,9.742573022842407,10.79275107383728
yeti,7,9.840918064117432,10.66728401184082
yeti,8,10.493743896484377,11.680924892425535
yeti,9,9.469966888427734,10.543081045150757
yeti,10,9.639974117279053,11.105550050735474
yeti,11,10.663365125656128,12.251118183135986
yeti,12,12.039968729019163,14.400368928909302
yeti,13,13.529664039611816,14.029516220092772
yeti,14,14.537552833557127,15.902508974075316
yeti,15,13.455299139022827,16.74841022491455
yeti,16,13.103760957717896,14.581115245819092
yeti,17,14.329853773117064,16.616018772125244
yeti,18,15.292261123657228,16.923599004745483
yeti,19,13.775275945663452,15.318851947784424
yeti,20,18.54331612586975,21.262649059295654
yeti,21,22.243633031845093,24.915770053863525
yeti,22,22.919729948043823,28.882472038269043
yeti,23,20.767043113708496,22.091251850128177
yeti,24,19.32631278038025,20.64493203163147
yeti,25,28.168694972991943,32.34589099884033
yeti,26,25.42411208152771,30.56607699394226
yeti,27,25.37041997909546,26.46989893913269
yeti,28,24.031564235687256,25.414239406585693
yeti,29,26.172525644302368,30.088085889816284
yeti,30,27.074929237365723,30.323731184005737
yeti,31,15.68247890472412,16.2660129070282
yeti,32,29.655674934387207,31.38913607597351
yeti,33,32.96282196044922,34.12541699409485
yeti,34,50.71042609214783,55.74475407600403
yeti,35,19.883095741271973,22.5271999835968
yeti,1,6.742102146148682,9.8211510181427
yeti,2,9.78887391090393,13.277051210403442
yeti,3,8.67961311340332,9.98305892944336
yeti,4,8.073589086532593,13.007972240447998
yeti,5,7.692337274551392,8.882984161376953
yeti,6,9.406287908554075,12.147690057754517
yeti,7,10.89977216720581,11.843688249588013
yeti,8,11.563863039016724,15.59228491783142
yeti,9,15.460434913635254,18.107017993927
yeti,10,14.015389919281006,17.178115129470825
yeti,11,14.665412187576294,16.04469394683838
yeti,12,16.344228744506836,17.332265853881836
yeti,13,16.250372886657715,17.73862600326538
yeti,14,18.374643802642822,20.420719861984253
yeti,15,20.380120754241943,21.150923013687137
yeti,16,17.538633108139038,18.42870402336121
yeti,17,19.64776492118835,22.807005167007446
yeti,18,19.698994159698486,23.225178003311157
yeti,19,21.26925778388977,23.54611086845398
yeti,20,21.804117918014526,24.604617834091187
yeti,21,24.033502101898193,27.67176604270935
yeti,22,28.450515031814575,32.40086889266968
yeti,23,23.510097980499268,24.713831901550293
yeti,24,25.166138172149655,28.03917908668518
yeti,25,27.63120675086975,28.891774892807007
yeti,26,16.65397310256958,19.208980083465576
yeti,27,27.66042995452881,30.117491006851196
yeti,28,31.10088276863098,32.66980504989624
yeti,29,31.234113931655884,32.248615741729736
yeti,30,34.00394320487976,37.05203080177307
yeti,31,9.949681043624878,12.320274114608765
yeti,32,8.337064981460571,10.854773998260498
yeti,33,4.948675155639648,6.799278974533081
yeti,34,9.26195788383484,12.58564567565918
yeti,35,10.61146068572998,12.511703729629517
yeti,36,6.39918065071106,6.641952753067017
yeti,37,4.789074897766113,8.158334016799927
yeti,38,14.542986392974854,17.71632719039917
yeti,39,18.767908096313477,20.69065523147583
yeti,40,5.907155990600586,10.336082935333252
yeti,41,5.897394895553589,10.82924485206604
yeti,42,11.718675136566162,13.83974313735962
yeti,43,6.497816801071167,9.73892092704773
yeti,44,6.350879430770874,11.42788028717041
yeti,45,6.0095298290252686,9.271918773651125
yeti,1,7.1674182415008545,7.850226163864136
yeti,2,8.329879999160767,9.010204076766968
yeti,3,7.529484033584595,8.3406081199646
yeti,4,6.844202995300293,7.650274991989136
yeti,5,6.6918792724609375,7.399989366531372
yeti,6,7.690625905990601,8.75440788269043
yeti,7,6.979711055755615,7.898772954940796
yeti,8,3.466391086578369,5.507706165313721
yeti,9,7.114650011062622,7.821992874145508
yeti,10,9.014060974121094,11.861580848693848
yeti,11,12.277233839035034,17.01500701904297
yeti,12,6.0637102127075195,12.5295729637146
yeti,13,10.896965980529783,12.808775901794434
yeti,14,12.890202045440674,16.905757904052734
yeti,15,13.908930778503418,17.673569202423096
yeti,16,16.026533126831055,19.364504098892212
yeti,17,14.525378704071043,17.461857795715332
yeti,18,9.972820043563845,10.229896306991575
yeti,19,6.67845606803894,10.112806797027588
yeti,20,15.291702032089232,16.094914197921753
yeti,21,7.342589378356934,10.149734258651732
rufus,1,4.05174708366394,12.190048217773438
rufus,2,2.424561023712158,13.60081911087036
rufus,3,2.668690919876098,12.826042175292969
rufus,4,0.4688661098480224,3.509430170059204
rufus,5,3.6219537258148193,18.889856100082397
rufus,6,3.5087387561798096,23.36824083328247
rufus,7,3.3760342597961426,19.093499183654785
rufus,8,3.2668380737304688,18.493518829345703
rufus,9,0.508342981338501,2.026757001876831
rufus,10,2.6760761737823486,19.41915011405945
rufus,1,3.688584804534912,26.028963088989254
rufus,2,3.4100167751312256,15.646146774291992
rufus,3,0.6416897773742676,2.167752981185913
rufus,4,3.344727039337158,12.480173110961914
rufus,5,5.425947189331055,21.199753046035767
rufus,6,3.9879767894744873,6.531313896179199
rufus,7,1.6650841236114502,3.6963162422180176
rufus,8,0.8818459510803223,8.503538846969604
rufus,9,1.7006239891052246,3.741387128829956
rufus,10,0.2148909568786621,3.265782117843628
rufus,11,4.252305746078491,17.977414846420288
rufus,12,5.077579021453857,14.229340314865112
rufus,13,4.622255086898804,16.834608793258667
rufus,14,5.631758213043213,15.807827949523926
rufus,15,4.645087957382202,15.317917823791504
rufus,16,4.7687599658966064,15.434720993041992
rufus,17,4.145542860031128,15.31526803970337
rufus,18,5.149118185043335,14.306380987167358
rufus,19,4.751944065093994,16.948950052261353
rufus,20,2.6728460788726807,14.863819122314451
rufus,21,2.5534510612487793,11.705221891403198
rufus,22,1.5698230266571045,4.108027935028076
rufus,23,2.6337080001831055,5.682050704956055
rufus,24,2.807464122772217,13.515286922454834
rufus,25,3.9205093383789062,8.505145072937012
rufus,26,1.6440250873565674,4.186593055725098
rufus,27,1.6073379516601562,3.6410937309265137
rufus,28,3.0831527709960938,21.885872840881348
rufus,29,2.735642194747925,7.828161001205444
rufus,30,2.76228404045105,29.23116111755371
rufus,31,3.884550094604492,24.21568703651428
rufus,32,3.906935930252075,23.252161979675293
rufus,33,2.8539159297943115,6.924437046051025
rufus,34,3.637631893157959,13.303557872772217
rufus,35,2.89479398727417,17.610722064971924
rufus,36,3.3879659175872803,18.131727695465088
rufus,37,3.7822060585021977,25.6291720867157
rufus,38,1.5441398620605469,3.5777556896209717
rufus,39,2.4567019939422607,28.94501996040344
rufus,40,0.5643441677093506,3.1031301021575928
rufus,1,1.2010118961334229,16.95898675918579
rufus,2,3.385143756866455,17.120261907577515
rufus,3,0.5471439361572266,2.5820059776306152
rufus,4,3.9881701469421382,25.83816719055176
rufus,5,1.312161207199097,27.77448296546936
rufus,6,2.2701098918914795,5.325337171554565
rufus,7,2.9045891761779785,25.332964181900024
rufus,8,3.520592212677002,24.952174186706543
rufus,9,3.0732650756835938,26.528324127197266
rufus,10,3.3134169578552246,11.45684814453125
rufus,11,2.9009130001068115,16.64629817008972
rufus,12,3.994246006011963,15.678989171981812
rufus,13,0.6551871299743652,2.68641996383667
rufus,14,2.6368160247802734,13.824056148529053
rufus,15,3.5053372383117676,21.319134950637817
rufus,16,3.8546700477600098,11.497306108474731
rufus,17,3.001659870147705,20.277615070343018
rufus,18,4.706570863723755,20.99508786201477
rufus,19,4.059257984161377,27.5058810710907
rufus,20,4.917893886566162,10.509153127670288
rufus,21,2.482253074645996,4.524119138717651
rufus,22,2.967031955718994,16.714505910873413
rufus,23,2.192020893096924,4.2224366664886475
rufus,1,2.8276000022888184,12.012979984283447
rufus,2,3.175917863845825,16.911473989486694
rufus,3,3.0915210247039795,18.335991144180294
rufus,4,4.5815110206604,19.33254098892212
rufus,5,2.745613813400269,9.36292314529419
rufus,6,2.373709201812744,4.408825159072876
rufus,7,2.9984030723571777,11.66535711288452
rufus,8,2.611185073852539,20.423757076263428
rufus,9,4.264450788497925,28.162874698638916
rufus,10,4.059091091156006,28.490834951400757
rufus,11,0.4468791484832763,2.4771320819854736
rufus,12,2.511770009994507,8.104322910308838
rufus,13,0.3994050025939941,1.9267690181732176
rufus,14,2.571774959564209,6.129975080490112
rufus,15,4.6279308795928955,12.753644943237305
rufus,16,3.123951196670532,9.740206241607666
rufus,17,3.719022035598755,10.322638988494871
rufus,18,2.7524967193603516,22.14337587356567
rufus,19,3.199437141418457,6.757631063461304
rufus,20,2.721091985702514,29.700710773468018
rufus,21,2.3747329711914062,4.406808853149414
rufus,22,1.5996761322021484,5.161844253540039
rufus,23,2.676480770111084,4.7142016887664795
rufus,24,2.7839548587799072,7.875081777572632
rufus,25,4.1965696811676025,11.838889837265016
rufus,26,1.1891770362854004,9.819257974624634
rufus,27,1.0891389846801758,9.731898069381714
fi,1,9.123778104782104,9.123778104782104
fi,2,13.209591150283812,13.209591150283812
fi,3,7.604501962661743,7.604501962661743
fi,4,8.122203826904297,8.122203826904297
fi,5,7.619408130645752,7.619408130645752
fi,6,7.129253149032593,7.129253149032593
fi,7,8.124895095825195,8.124895095825195
fi,8,7.625023126602173,7.625023126602173
fi,9,8.127344846725464,8.127344846725464
fi,10,7.108499050140381,7.108499050140381
fi,11,10.169275045394896,10.169275045394896
fi,12,9.15056586265564,9.15056586265564
fi,13,11.186676025390623,11.186676025390623
fi,14,8.643525123596191,8.643525123596191
fi,15,7.124882936477661,7.124882936477661
fi,16,7.620968103408813,7.620968103408813
fi,17,10.655762195587158,10.655762195587158
fi,18,8.643451929092407,8.643451929092407
fi,19,9.136567115783691,9.136567115783691
fi,20,11.694318771362305,11.694318771362305
fi,21,10.161264181137083,10.161264181137083
fi,22,15.270355939865112,15.270355939865112
fi,23,11.690472841262816,11.690472841262816
fi,24,9.68318009376526,9.68318009376526
fi,25,9.630497932434082,9.630497932434082
fi,26,9.155485153198242,9.155485153198242
fi,27,9.129712104797363,9.129712104797363
fi,28,9.148396968841553,9.148396968841553
fi,29,10.672893047332764,10.672893047332764
fi,30,11.18434715270996,11.18434715270996
fi,31,8.640134334564209,8.640134334564209
fi,32,9.662211656570436,9.662211656570436
fi,33,13.24989104270935,13.24989104270935
fi,34,10.685070037841797,10.685070037841797
fi,35,11.68299913406372,11.68299913406372
fi,36,11.202385187149048,11.202385187149048
fi,37,12.24947214126587,12.24947214126587
fi,38,10.168242931365969,10.168242931365969
fi,39,10.218689203262327,10.218689203262327
fi,40,12.204208135604858,12.204208135604858
fi,41,14.241111040115356,14.241111040115356
fi,42,12.726768255233765,12.726768255233765
fi,43,11.171541213989258,11.171541213989258
fi,44,10.163185834884644,10.163185834884644
fi,45,10.188613176345823,10.188613176345823
fi,46,13.226290941238403,13.226290941238403
fi,47,13.705933094024658,13.705933094024658
fi,48,9.149379014968872,9.149379014968872
fi,49,13.757474899291992,13.757474899291992
fi,50,12.221724033355711,12.221724033355711
fi,51,14.237406969070436,14.237406969070436
fi,52,11.195929050445557,11.195929050445557
fi,53,12.232597827911375,12.232597827911375
fi,54,19.34341597557068,19.34341597557068
fi,55,15.275952100753784,15.275952100753784
fi,56,16.302765130996704,16.302765130996704
fi,57,12.24422001838684,12.24422001838684
fi,58,11.718152046203612,11.718152046203612
fi,59,12.24210000038147,12.24210000038147
fi,60,0.5142199993133545,0.5142199993133545
fi,61,16.338011026382446,16.338011026382446
fi,1,9.13713312149048,9.13713312149048
fi,2,7.616769075393677,7.616769075393677
fi,3,9.644866704940796,9.644866704940796
fi,4,8.136101245880127,8.136101245880127
fi,5,7.607601881027222,7.607601881027222
fi,6,8.1280677318573,8.1280677318573
fi,7,7.104027032852173,7.104027032852173
fi,8,9.664451122283936,9.664451122283936
fi,9,10.669862985610962,10.669862985610962
fi,10,7.104865074157715,7.104865074157715
fi,11,7.112761974334717,7.112761974334717
fi,12,11.692909002304075,11.692909002304075
fi,13,9.642114162445068,9.642114162445068
fi,14,8.139152765274048,8.139152765274048
fi,15,1.0116760730743408,1.0116760730743408
fi,16,12.710153102874756,12.710153102874756
fi,17,8.626209735870361,8.626209735870361
fi,18,9.146416187286375,9.146416187286375
fi,19,8.638653993606567,8.638653993606567
fi,20,8.143383979797363,8.143383979797363
fi,21,7.121137857437134,7.121137857437134
fi,22,8.13815975189209,8.13815975189209
